Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448800000018463";;AMR-meter;Afname Actief;15,000;kWh;Gevalideerd;
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448800000018463";;AMR-meter;Afname Actief;12,500;kWh;Gevalideerd;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448800000018463";;AMR-meter;Afname Actief;12,500;kWh;Gevalideerd;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448800000018463";;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448800000018463";;AMR-meter;Afname Actief;8,750;kWh;Gevalideerd;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448800000018463";;AMR-meter;Afname Actief;1,250;kWh;Gevalideerd;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,645;kVArh;Gevalideerd;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448800000018463";;AMR-meter;Afname Actief;0,000;kWh;Gevalideerd;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
