Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448800000018463";;AMR-meter;Afname Actief;4,375;kWh;Gevalideerd;
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448800000018463";;AMR-meter;Afname Actief;1,250;kWh;Gevalideerd;
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,645;kVArh;Gevalideerd;
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448800000018463";;AMR-meter;Afname Actief;0,000;kWh;Gevalideerd;
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,625;kVArh;Gevalideerd;
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448800000018463";;AMR-meter;Afname Actief;0,000;kWh;Gevalideerd;
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-01-2026;10:30:00;01-01-2026;10:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448800000018463";;AMR-meter;Afname Actief;0,625;kWh;Gevalideerd;
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448800000018463";;AMR-meter;Afname Reactief;1,573;kVArh;Gevalideerd;
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;10:45:00;01-01-2026;11:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448800000018463";;AMR-meter;Afname Actief;1,250;kWh;Gevalideerd;
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448800000018463";;AMR-meter;Afname Reactief;2,520;kVArh;Gevalideerd;
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;11:00:00;01-01-2026;11:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448800000018463";;AMR-meter;Afname Actief;1,875;kWh;Gevalideerd;
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448800000018463";;AMR-meter;Afname Reactief;1,593;kVArh;Gevalideerd;
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;11:15:00;01-01-2026;11:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448800000018463";;AMR-meter;Afname Actief;0,000;kWh;Gevalideerd;
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-01-2026;11:30:00;01-01-2026;11:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448800000018463";;AMR-meter;Afname Actief;1,250;kWh;Gevalideerd;
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,020;kVArh;Gevalideerd;
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2026;11:45:00;01-01-2026;12:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;12:00:00;01-01-2026;12:15:00;="541448800000018463";;AMR-meter;Afname Actief;0,625;kWh;Gevalideerd;
